id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,"Gaelic translation 

Hi, don't suppose you could help me out with a Gaelic translation for ? Thanks in advance if you're able to -",0,0,0,0,0,0
1,"Hey dick 
You don't know what is copyright so shutup and get out of here, don't write stupid bullshit on my talk page. Dhivehi language is Dhivehi language not your bullshit nonsese.",1,0,1,0,1,0
2,"""

Am I correct in thinking that you are referring to the """"shattering of the vessels"""", first discussed by the Arizal? There is a mention of it there . It might be possible to expand on that.   """,0,0,0,0,0,0
3,"== Notable Alumni == 

 Why was this section all-but-deleted? US has many notable allumni, but currently the only one listed is a teacher who just happened to pitch for the Detroit Tigers a long, long time ago (in a galaxy far, far away?). For one, his son Michael Seelbach currently has a lead role in the Chicago production of Wicked. I understand that it was often vandalized by students of the school, but does that merit the almost complete deletion of it? (ps, it looks like it was deleted a l-o-o-o-o-ng time ago...)",0,0,0,0,0,0
4,"I have already been sent this message about vandalism. It wasn't me that did it. It was my brother using the computer. You know what? You dumbass pompous fucks think that IPs and shit always tell the whole story. Fuck off, it wasn't me who did it. And you could clearly see I had been warned. Go fucking kill yourself dumbshit.",1,0,1,0,1,0
5,"== exuse me == 

 i was not attacking someones page i was merely makeing it better. done bye hope you die",0,0,0,0,0,0
6,":You're welcome, Vernon39! Thanks for your improvements!",0,0,0,0,0,0
7,"Good point by JonC , legally the name of the state was still U.K. of G.B. and I. , but the other point being made is as of a qoute from the declaration itself , this is causing some confusion at this stage . Maybe the direct qoute from the declaration used with citation clearly outlining the issue might be better , some editors might object to the long winded intro , its an odd bin alright .",0,0,0,0,0,0
8,"""
No such """"compromise"""" was reached on September 26 and no such """"consensus"""" exists.   """,0,0,0,0,0,0
9,":::Again, we can't take the unverifiable claims of anons alone. If you really think there needs to be a criticism section, you need to find a RELIABLE source to back up your claims.",0,0,0,0,0,0
10,"Maybe we should just add something about that, linking to diffraction and aberrations.",0,0,0,0,0,0
11,"""
Source? —  (talk2me) 

Born This Way Sales
Gaga confirm that BTW sales are more than 5 million not 2  (http://twitter.com/#!/ladygaga/status/83643608376418304)  — Preceding unsigned comment added by 190.250.192.85   
Not a reliable source. —  (talk2me) """,0,0,0,0,0,0
12,"""
See section above; the second episode is called """"The End of Time"""" for definite. At this stage we really should be following what we had for Journey's End before the title The Stolen Earth was revealed.   """,0,0,0,0,0,0
13,"/* Im gay and im Proud */  

Listen every one i recently came out of the closet and came out as a homosexual and i have just told my parents this ....HOOORRAY BEER!!!!!!!!

 The VaNdAl",0,0,0,0,0,0
14,"Well, sure. I'd be glad to help someone, And I think I'd be able to use context clues to punch my way through the French. I'll take a look.",0,0,0,0,0,0
15,"""
A name being """"controversial"""" even among the usual corps of factional religious zealots who decide to descend on this page in particular, is NOT a valid reason for breaking Wikipedia Naming policy which clearly mandates Catholic Church as the title. And it has been clearly proven by objective research that Catholic Church is NOT ambiguous, but is the principal common name used for this entity. Like most of the persons coming here to support changing the name to RCC, you have totally ignored the relevant Wikipedia Naming Policies and the research gathered over the 12 months of the official decision debate. That is one reason why most of the """"drive-by"""" support contributions here are invalid. They merely promote sectional viewpoints and do not engage with Wikipedia naming policies and the facts supporting the decision taken on those grounds. Simply coming here and saying that you """"prefer"""" RCC has no bearing on the relevant process.  Xandar  """,0,0,0,0,0,0
16,"""

Do NOT call this series """"Onegai Sensei"""". If it were called """"Onegai Sensei"""" it would be titled """"???????"""". But it isn't, it is titled """"???????????"""", note the katakana reads """"tei-cha"""". The katakana is derived from the English word 'teacher', thus it is known as """"Onegai Teacher"""". Those who do call it """"Onegai Sensei"""" have literally took the English word 'teacher', and then translated back into Japanese, and romanized it once again into 'sensei', which if you think about it, is just their way to show off that they know a little Japanese. """,0,0,0,0,0,0
17,"I note these comments were made some time ago, but the section on the Investigations remains unchanged. I am willing to attempt a total rewrite of the section and will put the version here first for discussion.",0,0,0,0,0,0
